Country Name,Country Code,Series Name,2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023]
Afghanistan,AFG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Albania,ALB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,..,..,..
Algeria,DZA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
American Samoa,ASM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Andorra,AND,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Angola,AGO,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Antigua and Barbuda,ATG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Argentina,ARG,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1.1,1.2,0.9,0.6,..
Armenia,ARM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1,0.4,0.5,0.8,..
Aruba,ABW,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Australia,AUS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Austria,AUT,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.6,0.7,0.5,..,..
Azerbaijan,AZE,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
"Bahamas, The",BHS,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Bahrain,BHR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Bangladesh,BGD,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,5,..
Barbados,BRB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Belarus,BLR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0,0,..,..,..
Belgium,BEL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.1,0.1,0,..,..
Belize,BLZ,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Benin,BEN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,12.7,..,..
Bermuda,BMU,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Bhutan,BTN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,0,..
Bolivia,BOL,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),1.9,3.1,2,..,..
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Botswana,BWA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Brazil,BRA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),5.4,2,5.8,3.5,..
British Virgin Islands,VGB,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Brunei Darussalam,BRN,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Bulgaria,BGR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),0.9,0.2,0.7,..,..
Burkina Faso,BFA,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,25.3,..,..
Burundi,BDI,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,62.1,..,..,..
Cabo Verde,CPV,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Cambodia,KHM,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,..,..,..
Cameroon,CMR,Poverty headcount ratio at $2.15 a day (2017 PPP) (% of population),..,..,23,..,..
